"filename", "language", "Markdown", "Python", "HTML", "XML", "JavaScript", "CSS", "Log", "JSON", "comment", "blank", "total"
"/home/ali4mini/__Projects__/amlak/file/migrations/0027_alter_comment_user.py", "Python", 0, 15, 0, 0, 0, 0, 0, 0, 1, 6, 22
"/home/ali4mini/__Projects__/amlak/file/migrations/0028_rent_created_rent_pictures_rent_updated_sell_created_and_more.py", "Python", 0, 42, 0, 0, 0, 0, 0, 0, 1, 6, 49
"/home/ali4mini/__Projects__/amlak/file/migrations/0029_alter_rent_pictures_alter_sell_pictures.py", "Python", 0, 17, 0, 0, 0, 0, 0, 0, 1, 6, 24
"/home/ali4mini/__Projects__/amlak/file/migrations/0030_remove_rent_pictures_remove_sell_pictures.py", "Python", 0, 15, 0, 0, 0, 0, 0, 0, 1, 6, 22
"/home/ali4mini/__Projects__/amlak/file/migrations/0031_alter_rent_options_alter_sell_options_sellimages_and_more.py", "Python", 0, 31, 0, 0, 0, 0, 0, 0, 1, 6, 38
"/home/ali4mini/__Projects__/amlak/file/migrations/0032_sell_image1_sell_image2_sell_image3_sell_image4_and_more.py", "Python", 0, 32, 0, 0, 0, 0, 0, 0, 1, 6, 39
"/home/ali4mini/__Projects__/amlak/file/migrations/0033_rentcomment.py", "Python", 0, 26, 0, 0, 0, 0, 0, 0, 1, 6, 33
"/home/ali4mini/__Projects__/amlak/file/migrations/0034_rent_image1_rent_image2_rent_image3_rent_image4_and_more.py", "Python", 0, 32, 0, 0, 0, 0, 0, 0, 1, 6, 39
"/home/ali4mini/__Projects__/amlak/file/migrations/0035_alter_rent_type.py", "Python", 0, 12, 0, 0, 0, 0, 0, 0, 1, 6, 19
"/home/ali4mini/__Projects__/amlak/file/migrations/0036_alter_sell_type.py", "Python", 0, 12, 0, 0, 0, 0, 0, 0, 1, 6, 19
"/home/ali4mini/__Projects__/amlak/file/migrations/0037_alter_sell_type.py", "Python", 0, 12, 0, 0, 0, 0, 0, 0, 1, 6, 19
"/home/ali4mini/__Projects__/amlak/file/migrations/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/ali4mini/__Projects__/amlak/file/models.py", "Python", 0, 127, 0, 0, 0, 0, 0, 0, 2, 25, 154
"/home/ali4mini/__Projects__/amlak/file/static/JS/scripts.js", "JavaScript", 0, 0, 0, 0, 28, 0, 0, 0, 11, 6, 45
"/home/ali4mini/__Projects__/amlak/file/static/camera.svg", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 1, 0, 14
"/home/ali4mini/__Projects__/amlak/file/static/css/base.css", "CSS", 0, 0, 0, 0, 0, 34, 0, 0, 19, 11, 64
"/home/ali4mini/__Projects__/amlak/file/static/css/file_details.css", "CSS", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 10
"/home/ali4mini/__Projects__/amlak/file/static/css/new_file.css", "CSS", 0, 0, 0, 0, 0, 53, 0, 0, 0, 9, 62
"/home/ali4mini/__Projects__/amlak/file/static/css/new_rent_file.css", "CSS", 0, 0, 0, 0, 0, 53, 0, 0, 0, 9, 62
"/home/ali4mini/__Projects__/amlak/file/templates/file/base copy.html", "HTML", 0, 0, 56, 0, 0, 0, 0, 0, 0, 1, 57
"/home/ali4mini/__Projects__/amlak/file/templates/file/base.html", "HTML", 0, 0, 34, 0, 0, 0, 0, 0, 0, 7, 41
"/home/ali4mini/__Projects__/amlak/file/templates/file/file_detail.html", "HTML", 0, 0, 267, 0, 0, 0, 0, 0, 4, 22, 293
"/home/ali4mini/__Projects__/amlak/file/templates/file/form.html", "HTML", 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"/home/ali4mini/__Projects__/amlak/file/templates/file/new_file.html", "HTML", 0, 0, 137, 0, 0, 0, 0, 0, 0, 3, 140
"/home/ali4mini/__Projects__/amlak/file/templates/file/new_rent_file.html", "HTML", 0, 0, 97, 0, 0, 0, 0, 0, 0, 62, 159
"/home/ali4mini/__Projects__/amlak/file/templates/file/new_sell_file.html", "HTML", 0, 0, 118, 0, 0, 0, 0, 0, 0, 2, 120
"/home/ali4mini/__Projects__/amlak/file/templates/file/panel.html", "HTML", 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"/home/ali4mini/__Projects__/amlak/file/templates/file/sell_form.html", "HTML", 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"/home/ali4mini/__Projects__/amlak/file/templates/file/sell_update.html", "HTML", 0, 0, 59, 0, 0, 0, 0, 0, 2, 8, 69
"/home/ali4mini/__Projects__/amlak/file/tests.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2, 4
"/home/ali4mini/__Projects__/amlak/file/urls.py", "Python", 0, 13, 0, 0, 0, 0, 0, 0, 5, 4, 22
"/home/ali4mini/__Projects__/amlak/file/views.py", "Python", 0, 232, 0, 0, 0, 0, 0, 0, 40, 43, 315
"/home/ali4mini/__Projects__/amlak/geckodriver.log", "Log", 0, 0, 0, 0, 0, 0, 2423, 0, 0, 1, 2424
"/home/ali4mini/__Projects__/amlak/listing/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/ali4mini/__Projects__/amlak/listing/admin.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2, 4
"/home/ali4mini/__Projects__/amlak/listing/apps.py", "Python", 0, 4, 0, 0, 0, 0, 0, 0, 0, 3, 7
"/home/ali4mini/__Projects__/amlak/listing/forms.py", "Python", 0, 27, 0, 0, 0, 0, 0, 0, 1, 5, 33
"/home/ali4mini/__Projects__/amlak/listing/migrations/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/ali4mini/__Projects__/amlak/listing/models.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2, 4
"/home/ali4mini/__Projects__/amlak/listing/scripts/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/ali4mini/__Projects__/amlak/listing/scripts/divar/divar.py", "Python", 0, 121, 0, 0, 0, 0, 0, 0, 13, 44, 178
"/home/ali4mini/__Projects__/amlak/listing/scripts/listing.py", "Python", 0, 215, 0, 0, 0, 0, 0, 0, 114, 45, 374
"/home/ali4mini/__Projects__/amlak/listing/scripts/listing_runner.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 2, 2, 9
"/home/ali4mini/__Projects__/amlak/listing/scripts/test.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/ali4mini/__Projects__/amlak/listing/static/JS/scripts.js", "JavaScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 1, 18
"/home/ali4mini/__Projects__/amlak/listing/static/css/listing.css", "CSS", 0, 0, 0, 0, 0, 63, 0, 0, 0, 14, 77
"/home/ali4mini/__Projects__/amlak/listing/static/images/elevator.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"/home/ali4mini/__Projects__/amlak/listing/static/images/parking.svg", "XML", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 12
"/home/ali4mini/__Projects__/amlak/listing/static/images/storage.svg", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 1, 1, 8
"/home/ali4mini/__Projects__/amlak/listing/templates/listing/listing.html", "HTML", 0, 0, 94, 0, 0, 0, 0, 0, 0, 8, 102
"/home/ali4mini/__Projects__/amlak/listing/templates/listing/listing_form.html", "HTML", 0, 0, 116, 0, 0, 0, 0, 0, 0, 7, 123
"/home/ali4mini/__Projects__/amlak/listing/tests.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2, 4
"/home/ali4mini/__Projects__/amlak/listing/urls.py", "Python", 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/home/ali4mini/__Projects__/amlak/listing/views.py", "Python", 0, 50, 0, 0, 0, 0, 0, 0, 3, 3, 56
"/home/ali4mini/__Projects__/amlak/manage.py", "Python", 0, 15, 0, 0, 0, 0, 0, 0, 3, 5, 23
"/home/ali4mini/__Projects__/amlak/out/linecounter.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 211607, 0, 0, 211607
"/home/ali4mini/__Projects__/amlak/package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 26, 0, 1, 27
"/home/ali4mini/__Projects__/amlak/package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"Total", "-", 0, 2209, 1148, 35, 58, 281, 2427, 211639, 383, 841, 219021
